timestamp_ms,latitude,longitude,inside
1780762120699,35.04958845741131,-118.1513273036558,true
1780762120750,35.0495883692341,-118.15132736687555,true
1780762120799,35.0495883692341,-118.15132736687555,true
1780762120850,35.04958832828917,-118.15132739012516,true
1780762120899,35.04958832828917,-118.15132739012516,true
1780762120949,35.049588268302294,-118.1513275073568,true
1780762120998,35.049588268302294,-118.1513275073568,true
1780762121048,35.0495880808722,-118.15132782556896,true
1780762121099,35.0495880808722,-118.15132782556896,true
1780762121149,35.049587829583444,-118.15132845820558,true
1780762121199,35.049587829583444,-118.15132845820558,true
1780762121249,35.04958731491946,-118.1513294009139,true
1780762121298,35.04958731491946,-118.1513294009139,true
1780762121349,35.04958658899507,-118.1513305439959,true
1780762121398,35.04958658899507,-118.1513305439959,true
1780762121449,35.049585731550096,-118.15133208248884,true
1780762121499,35.049585731550096,-118.15133208248884,true
1780762121549,35.04958480376207,-118.1513336152479,true
1780762121599,35.04958480376207,-118.1513336152479,true
1780762121648,35.049583750106954,-118.15133565106515,true
1780762121699,35.049583750106954,-118.15133565106515,true
1780762121749,35.04958307081524,-118.15133752241911,true
1780762121799,35.04958307081524,-118.15133752241911,true
1780762121849,35.04958185927375,-118.15133997534842,true
1780762121898,35.04958185927375,-118.15133997534842,true
1780762121948,35.04958081605187,-118.15134268050791,true
1780762121998,35.04958081605187,-118.15134268050791,true
1780762122049,35.04957946680523,-118.15134556320993,true
1780762122099,35.04957946680523,-118.15134556320993,true
1780762122148,35.049578426307306,-118.1513486387311,true
1780762122198,35.049578426307306,-118.1513486387311,true
1780762122249,35.04957699602739,-118.15135183299066,true
1780762122299,35.04957699602739,-118.15135183299066,true
1780762122350,35.049575625691546,-118.15135544875693,true
1780762122398,35.049575625691546,-118.15135544875693,true
1780762122449,35.04957415542608,-118.1513587810075,true
1780762122499,35.04957415542608,-118.1513587810075,true
1780762122549,35.049572870834716,-118.15136193345543,true
1780762122599,35.049572870834716,-118.15136193345543,true
1780762122649,35.049571396988725,-118.15136526976583,true
1780762122698,35.049571396988725,-118.15136526976583,true
1780762122748,35.04956987760647,-118.1513693343691,true
1780762122798,35.04956987760647,-118.1513693343691,true
1780762122849,35.04956840033412,-118.15137274911292,true
1780762122899,35.04956840033412,-118.15137274911292,true
1780762122950,35.049566675182206,-118.15137661859517,true
1780762122999,35.049566675182206,-118.15137661859517,true
1780762123049,35.0495651682719,-118.15138006405947,true
1780762123099,35.0495651682719,-118.15138006405947,true
1780762123148,35.04956370619542,-118.15138377483319,true
1780762123199,35.04956370619542,-118.15138377483319,true
1780762123249,35.049562206480445,-118.1513872236458,true
1780762123299,35.049562206480445,-118.1513872236458,true
1780762123349,35.049562206480445,-118.1513872236458,true
1780762123398,35.049562206480445,-118.1513872236458,true
1780762123448,35.04955909111983,-118.15139410741753,true
1780762123499,35.04955909111983,-118.15139410741753,true
1780762123549,35.04955720725923,-118.15139803649915,true
1780762123598,35.04955720725923,-118.15139803649915,true
1780762123648,35.04955561236015,-118.15140151649261,true
1780762123698,35.04955561236015,-118.15140151649261,true
1780762123748,35.04955399542963,-118.15140471811846,true
1780762123799,35.04955399542963,-118.15140471811846,true
1780762123849,35.049552383655765,-118.15140818229128,true
1780762123899,35.049552383655765,-118.15140818229128,true
1780762123949,35.04955055562759,-118.15141191014122,true
1780762123999,35.04955055562759,-118.15141191014122,true
1780762124048,35.049548927304436,-118.15141542696578,true
1780762124098,35.049548927304436,-118.15141542696578,true
1780762124148,35.04954711803554,-118.15141900753322,true
1780762124198,35.04954711803554,-118.15141900753322,true
1780762124249,35.04954549010642,-118.15142255796616,true
1780762124299,35.04954549010642,-118.15142255796616,true
1780762124349,35.04954378424488,-118.15142599334378,true
1780762124399,35.04954378424488,-118.15142599334378,true
1780762124449,35.04954217058652,-118.15142957428793,true
1780762124498,35.04954217058652,-118.15142957428793,true
1780762124548,35.04954049823471,-118.15143299125002,true
1780762124598,35.04954049823471,-118.15143299125002,true
1780762124649,35.049538901262686,-118.15143659868741,true
1780762124699,35.049538901262686,-118.15143659868741,true
1780762124748,35.04953719158076,-118.15144030527577,true
1780762124798,35.04953719158076,-118.15144030527577,true
1780762124848,35.04953559233022,-118.15144393698819,true
1780762124898,35.04953559233022,-118.15144393698819,true
1780762124948,35.049533810712,-118.15144751152873,true
1780762124998,35.049533810712,-118.15144751152873,true
1780762125048,35.04953220654464,-118.15145117145045,true
1780762125098,35.04953220654464,-118.15145117145045,true
1780762125148,35.049530690811466,-118.1514549746367,true
1780762125198,35.049530690811466,-118.1514549746367,true
1780762125248,35.0495290976427,-118.15145867088725,true
1780762125298,35.0495290976427,-118.15145867088725,true
1780762125349,35.049527662548755,-118.15146195977759,true
1780762125399,35.049527662548755,-118.15146195977759,true
1780762125449,35.04952609367284,-118.15146563794742,true
1780762125499,35.04952609367284,-118.15146563794742,true
1780762125549,35.049524677149726,-118.15146964525323,true
1780762125599,35.049524677149726,-118.15146964525323,true
1780762125649,35.04952311677116,-118.15147335937526,true
1780762125698,35.04952311677116,-118.15147335937526,true
1780762125749,35.04952146100292,-118.15147710978421,true
1780762125798,35.04952146100292,-118.15147710978421,true
1780762125848,35.04951988676475,-118.1514808202231,true
1780762125898,35.04951988676475,-118.1514808202231,true
1780762125949,35.049518364350185,-118.15148434257233,true
1780762125998,35.049518364350185,-118.15148434257233,true
1780762126049,35.04951678798768,-118.15148803899027,true
1780762126098,35.04951678798768,-118.15148803899027,true
1780762126149,35.049515294148904,-118.15149203579084,true
1780762126199,35.049515294148904,-118.15149203579084,true
1780762126249,35.049513713126565,-118.15149577339268,true
1780762126299,35.049513713126565,-118.15149577339268,true
1780762126349,35.04951230020112,-118.15149900301847,true
1780762126398,35.04951230020112,-118.15149900301847,true
1780762126448,35.04951072306769,-118.15150270868604,true
1780762126498,35.04951072306769,-118.15150270868604,true
1780762126549,35.04950917212874,-118.15150663144776,true
1780762126599,35.04950917212874,-118.15150663144776,true
1780762126649,35.04950760333847,-118.15151036126483,true
1780762126699,35.04950760333847,-118.15151036126483,true
1780762126748,35.04950760333847,-118.15151036126483,true
1780762126798,35.04950760333847,-118.15151036126483,true
1780762126848,35.04950452282387,-118.15151776912616,true
1780762126899,35.04950452282387,-118.15151776912616,true
1780762126949,35.04950301654742,-118.15152157695816,true
1780762126999,35.04950301654742,-118.15152157695816,true
1780762127049,35.04950144398818,-118.15152529974381,true
1780762127099,35.04950144398818,-118.15152529974381,true
1780762127149,35.04949989817162,-118.1515289167238,true
1780762127198,35.04949989817162,-118.1515289167238,true
1780762127249,35.04949989817162,-118.1515289167238,true
1780762127299,35.04949989817162,-118.1515289167238,true
1780762127349,35.04949676336644,-118.15153643947302,true
