timestamp_ms,latitude,longitude,inside
1776131887625,33.99155625215892,-118.05578834677586,true
1776131887728,33.99155630758689,-118.05578833698313,true
1776131887826,33.99155630583817,-118.0557883763858,true
1776131887931,33.99155635469173,-118.05578836509993,true
1776131888034,33.99155652763707,-118.05578853172649,true
1776131888128,33.991556574624404,-118.05578853774266,true
1776131888222,33.99155657442786,-118.05578852227771,true
1776131888324,33.99155660699241,-118.05578853337055,true
1776131888429,33.991556460744825,-118.05578870714444,true
1776131888520,33.99155648513995,-118.05578874949667,true
1776131888628,33.991556576246175,-118.05578890910763,true
1776131888728,33.99155660607207,-118.05578897819687,true
1776131888817,33.99155655379907,-118.05578911124199,true
1776131888931,33.991556570892904,-118.05578919356755,true
1776131889020,33.99155651308778,-118.0557894142302,true
1776131889128,33.991556544659076,-118.05578950504844,true
1776131889226,33.991556538450055,-118.05578964258378,true
1776131889321,33.991556584342185,-118.05578973152532,true
1776131889427,33.991556764421524,-118.0557898237203,true
1776131889542,33.99155683232988,-118.05578990732884,true
1776131889634,33.9915567823246,-118.05578999482607,true
1776131889721,33.99155685231167,-118.05579006156671,true
1776131889829,33.99155692671557,-118.0557901591311,true
1776131889928,33.991556983182484,-118.05579023315215,true
1776131890028,33.991557000354135,-118.05579035568286,true
1776131890132,33.99155704520598,-118.05579044317545,true
1776131890227,33.99155672172195,-118.05579044596482,true
1776131890326,33.99155676254725,-118.05579054826492,true
1776131890427,33.99155673574422,-118.05579078562131,true
1776131890528,33.99155674951781,-118.05579112116598,true
1776131890625,33.99155650452311,-118.0557916555717,true
1776131890725,33.991556391757314,-118.05579265546768,true
1776131890826,33.99155602413077,-118.0557939478782,true
1776131890926,33.991555832514166,-118.05579560529749,true
1776131891020,33.9915557337898,-118.05579730433422,true
1776131891123,33.99155553055975,-118.05579954341964,true
1776131891224,33.99155604956176,-118.055802014536,true
1776131891319,33.991555884836714,-118.05580481906286,true
1776131891425,33.99155662726095,-118.0558075139733,true
1776131891524,33.99155651538176,-118.05581084265351,true
1776131891619,33.991557127755755,-118.05581430566299,true
1776131891725,33.99155706773364,-118.05581816435638,true
1776131891824,33.99155810394261,-118.05582139199096,true
1776131891923,33.99155814836386,-118.0558256743772,true
1776131892023,33.99155891641116,-118.05582969837285,true
1776131892126,33.9915590423347,-118.05583437694672,true
1776131892224,33.991560065574184,-118.05583889930574,true
1776131892326,33.991560323507244,-118.05584372983739,true
1776131892426,33.99156116417321,-118.05584674880926,true
1776131892524,33.991561524842986,-118.05585141784877,true
1776131892626,33.991563720195465,-118.05585684345102,true
1776131892723,33.99156426821051,-118.05586157545692,true
1776131892827,33.99156607917763,-118.05586617936534,true
1776131892925,33.991566769802105,-118.05587091357722,true
1776131893027,33.99156803843004,-118.05587592635392,true
1776131893123,33.99156884006736,-118.05588069670378,true
1776131893223,33.99156989613387,-118.05588668442113,true
1776131893322,33.9915707745614,-118.05589151774768,true
1776131893427,33.99157123323006,-118.05589641482595,true
1776131893524,33.99157213525386,-118.05590116520304,true
1776131893624,33.99157297850369,-118.0559070023755,true
1776131893722,33.991573919988575,-118.05591174755534,true
1776131893823,33.99157497369731,-118.05591631216403,true
1776131893923,33.99157595760849,-118.05592092878662,true
1776131894024,33.991576613107874,-118.05592574329769,true
1776131894125,33.9915776355003,-118.05593030992122,true
1776131894223,33.99157834443947,-118.05593559651489,true
1776131894326,33.99157939068482,-118.05594020942813,true
1776131894421,33.9915795855513,-118.05594449181432,false
